key,name,value,unit,gas,gwp_set,ghg_scope,ghg_category,source_id,source_ref,retrieved,note,updated,value_invalid,is_duplicate_key,is_biogenic_memo,gwp_set_missing_structural,gwp_set_missing_unexpected,note_missing,outlier_flag,outlier_reason
fuels.gbr.bio.biodiesel_hvo.kg,UK Biodiesel HVO — combustion non-CO2 (kg),0.04562,kg CO2e per kg,CO2e,AR5_100,scope1,stationary_combustion,DEFRA_2026,'Bioenergy'!D37,2026-06-18,Non-CO2 component only (CH4 + N2O at AR5). DEFRA Bioenergy sheet does not publish per-gas decomposition; AR6 alternate unavailable. Biogenic CO2 for this fuel shipped in v2025.12a (paired key fuels.uk.bio.biogenic.biodiesel_hvo.kg).,2026-06-18,False,False,False,False,False,False,False,
fuels.gbr.bio.biodiesel_hvo.litre,UK Biodiesel HVO — combustion non-CO2 (litres),0.03558,kg CO2e per litre,CO2e,AR5_100,scope1,stationary_combustion,DEFRA_2026,'Bioenergy'!D35,2026-06-18,Non-CO2 component only (CH4 + N2O at AR5). DEFRA Bioenergy sheet does not publish per-gas decomposition; AR6 alternate unavailable. Biogenic CO2 for this fuel shipped in v2025.12a (paired key fuels.uk.bio.biogenic.biodiesel_hvo.litre).,2026-06-18,False,False,False,False,False,False,True,log-z=-5.68
fuels.gbr.bio.biodiesel_me.gj,UK Biodiesel ME — combustion non-CO2 (GJ),5.05961,kg CO2e per GJ,CO2e,AR5_100,scope1,stationary_combustion,DEFRA_2026,'Bioenergy'!D24,2026-06-18,Non-CO2 component only (CH4 + N2O at AR5). DEFRA Bioenergy sheet does not publish per-gas decomposition; AR6 alternate unavailable. Biogenic CO2 for this fuel shipped in v2025.12a (paired key fuels.uk.bio.biogenic.biodiesel_me.gj).,2026-06-18,False,False,False,False,False,False,False,
fuels.gbr.bio.biodiesel_me.kg,UK Biodiesel ME — combustion non-CO2 (kg),0.18822,kg CO2e per kg,CO2e,AR5_100,scope1,stationary_combustion,DEFRA_2026,'Bioenergy'!D25,2026-06-18,Non-CO2 component only (CH4 + N2O at AR5). DEFRA Bioenergy sheet does not publish per-gas decomposition; AR6 alternate unavailable. Biogenic CO2 for this fuel shipped in v2025.12a (paired key fuels.uk.bio.biogenic.biodiesel_me.kg).,2026-06-18,False,False,False,False,False,False,False,
fuels.gbr.bio.biodiesel_me.litre,UK Biodiesel ME — combustion non-CO2 (litres),0.16751,kg CO2e per litre,CO2e,AR5_100,scope1,stationary_combustion,DEFRA_2026,'Bioenergy'!D23,2026-06-18,Non-CO2 component only (CH4 + N2O at AR5). DEFRA Bioenergy sheet does not publish per-gas decomposition; AR6 alternate unavailable. Biogenic CO2 for this fuel shipped in v2025.12a (paired key fuels.uk.bio.biogenic.biodiesel_me.litre).,2026-06-18,False,False,False,False,False,False,False,
fuels.gbr.bio.biodiesel_me_from_tallow.gj,UK Biodiesel ME (from tallow) — combustion non-CO2 (GJ),5.05961,kg CO2e per GJ,CO2e,AR5_100,scope1,stationary_combustion,DEFRA_2026,'Bioenergy'!D33,2026-06-18,Non-CO2 component only (CH4 + N2O at AR5). DEFRA Bioenergy sheet does not publish per-gas decomposition; AR6 alternate unavailable. Biogenic CO2 for this fuel shipped in v2025.12a (paired key fuels.uk.bio.biogenic.biodiesel_me_from_tallow.gj).,2026-06-18,False,False,False,False,False,False,False,
fuels.gbr.bio.biodiesel_me_from_tallow.kg,UK Biodiesel ME (from tallow) — combustion non-CO2 (kg),0.18822,kg CO2e per kg,CO2e,AR5_100,scope1,stationary_combustion,DEFRA_2026,'Bioenergy'!D34,2026-06-18,Non-CO2 component only (CH4 + N2O at AR5). DEFRA Bioenergy sheet does not publish per-gas decomposition; AR6 alternate unavailable. Biogenic CO2 for this fuel shipped in v2025.12a (paired key fuels.uk.bio.biogenic.biodiesel_me_from_tallow.kg).,2026-06-18,False,False,False,False,False,False,False,
fuels.gbr.bio.biodiesel_me_from_tallow.litre,UK Biodiesel ME (from tallow) — combustion non-CO2 (litres),0.16751,kg CO2e per litre,CO2e,AR5_100,scope1,stationary_combustion,DEFRA_2026,'Bioenergy'!D32,2026-06-18,Non-CO2 component only (CH4 + N2O at AR5). DEFRA Bioenergy sheet does not publish per-gas decomposition; AR6 alternate unavailable. Biogenic CO2 for this fuel shipped in v2025.12a (paired key fuels.uk.bio.biogenic.biodiesel_me_from_tallow.litre).,2026-06-18,False,False,False,False,False,False,False,
fuels.gbr.bio.biodiesel_me_from_used_cooking_oil.gj,UK Biodiesel ME (from used cooking oil) — combustion non-CO2 (GJ),5.05961,kg CO2e per GJ,CO2e,AR5_100,scope1,stationary_combustion,DEFRA_2026,'Bioenergy'!D30,2026-06-18,Non-CO2 component only (CH4 + N2O at AR5). DEFRA Bioenergy sheet does not publish per-gas decomposition; AR6 alternate unavailable. Biogenic CO2 for this fuel shipped in v2025.12a (paired key fuels.uk.bio.biogenic.biodiesel_me_from_used_cooking_oil.gj).,2026-06-18,False,False,False,False,False,False,False,
fuels.gbr.bio.biodiesel_me_from_used_cooking_oil.kg,UK Biodiesel ME (from used cooking oil) — combustion non-CO2 (kg),0.18822,kg CO2e per kg,CO2e,AR5_100,scope1,stationary_combustion,DEFRA_2026,'Bioenergy'!D31,2026-06-18,Non-CO2 component only (CH4 + N2O at AR5). DEFRA Bioenergy sheet does not publish per-gas decomposition; AR6 alternate unavailable. Biogenic CO2 for this fuel shipped in v2025.12a (paired key fuels.uk.bio.biogenic.biodiesel_me_from_used_cooking_oil.kg).,2026-06-18,False,False,False,False,False,False,False,
fuels.gbr.bio.biodiesel_me_from_used_cooking_oil.litre,UK Biodiesel ME (from used cooking oil) — combustion non-CO2 (litres),0.16751,kg CO2e per litre,CO2e,AR5_100,scope1,stationary_combustion,DEFRA_2026,'Bioenergy'!D29,2026-06-18,Non-CO2 component only (CH4 + N2O at AR5). DEFRA Bioenergy sheet does not publish per-gas decomposition; AR6 alternate unavailable. Biogenic CO2 for this fuel shipped in v2025.12a (paired key fuels.uk.bio.biogenic.biodiesel_me_from_used_cooking_oil.litre).,2026-06-18,False,False,False,False,False,False,False,
fuels.gbr.bio.bioethanol.gj,UK Bioethanol — combustion non-CO2 (GJ),0.42339,kg CO2e per GJ,CO2e,AR5_100,scope1,stationary_combustion,DEFRA_2026,'Bioenergy'!D21,2026-06-18,Non-CO2 component only (CH4 + N2O at AR5). DEFRA Bioenergy sheet does not publish per-gas decomposition; AR6 alternate unavailable. Biogenic CO2 for this fuel shipped in v2025.12a (paired key fuels.uk.bio.biogenic.bioethanol.gj).,2026-06-18,False,False,False,False,False,False,False,
fuels.gbr.bio.bioethanol.kg,UK Bioethanol — combustion non-CO2 (kg),0.01135,kg CO2e per kg,CO2e,AR5_100,scope1,stationary_combustion,DEFRA_2026,'Bioenergy'!D22,2026-06-18,Non-CO2 component only (CH4 + N2O at AR5). DEFRA Bioenergy sheet does not publish per-gas decomposition; AR6 alternate unavailable. Biogenic CO2 for this fuel shipped in v2025.12a (paired key fuels.uk.bio.biogenic.bioethanol.kg).,2026-06-18,False,False,False,False,False,False,False,
fuels.gbr.bio.bioethanol.litre,UK Bioethanol — combustion non-CO2 (litres),0.00901,kg CO2e per litre,CO2e,AR5_100,scope1,stationary_combustion,DEFRA_2026,'Bioenergy'!D20,2026-06-18,Non-CO2 component only (CH4 + N2O at AR5). DEFRA Bioenergy sheet does not publish per-gas decomposition; AR6 alternate unavailable. Biogenic CO2 for this fuel shipped in v2025.12a (paired key fuels.uk.bio.biogenic.bioethanol.litre).,2026-06-18,False,False,False,False,False,False,True,log-z=-7.68
fuels.gbr.bio.biogas.kwh,UK Biogas — combustion non-CO2 (kWh),0.00022,kg CO2e per kWh,CO2e,AR5_100,scope1,stationary_combustion,DEFRA_2026,'Bioenergy'!D76,2026-06-18,Non-CO2 component only (CH4 + N2O at AR5). DEFRA Bioenergy sheet does not publish per-gas decomposition; AR6 alternate unavailable. Biogenic CO2 for this fuel shipped in v2025.12a (paired key fuels.uk.bio.biogenic.biogas.kwh).,2026-06-18,False,False,False,False,False,False,True,log-z=-44.52; outside 3.0x IQR of unit group
fuels.gbr.bio.biogas.tonne,UK Biogas — combustion non-CO2 (tonnes),1.22851,kg CO2e per tonne,CO2e,AR5_100,scope1,stationary_combustion,DEFRA_2026,'Bioenergy'!D75,2026-06-18,Non-CO2 component only (CH4 + N2O at AR5). DEFRA Bioenergy sheet does not publish per-gas decomposition; AR6 alternate unavailable. Biogenic CO2 for this fuel shipped in v2025.12a (paired key fuels.uk.bio.biogenic.biogas.tonne).,2026-06-18,False,False,False,False,False,False,True,log-z=-70.79; outside 3.0x IQR of unit group
fuels.gbr.bio.biogenic.avtur_renewable.gj,UK Avtur (renewable) — biogenic CO2 memo (GJ),71.74,kg CO2 per GJ,CO2,,outside_scopes,biogenic_co2_memo,DEFRA_2026,'Outside of scopes'!D68,2026-06-18,Biogenic CO2 memo — outside GHG Protocol scope totals. Pair with non-CO2 row fuels.uk.bio.avtur_renewable.gj (shipping in v2025.12b) for full bio-fuel accounting.,2026-06-18,False,False,True,True,False,False,False,
fuels.gbr.bio.biogenic.avtur_renewable.kg,UK Avtur (renewable) — biogenic CO2 memo (kg),3.15,kg CO2 per kg,CO2,,outside_scopes,biogenic_co2_memo,DEFRA_2026,'Outside of scopes'!D69,2026-06-18,Biogenic CO2 memo — outside GHG Protocol scope totals. Pair with non-CO2 row fuels.uk.bio.avtur_renewable.kg (shipping in v2025.12b) for full bio-fuel accounting.,2026-06-18,False,False,True,True,False,False,False,
fuels.gbr.bio.biogenic.avtur_renewable.litre,UK Avtur (renewable) — biogenic CO2 memo (litres),2.51,kg CO2 per litre,CO2,,outside_scopes,biogenic_co2_memo,DEFRA_2026,'Outside of scopes'!D67,2026-06-18,Biogenic CO2 memo — outside GHG Protocol scope totals. Pair with non-CO2 row fuels.uk.bio.avtur_renewable.litre (shipping in v2025.12b) for full bio-fuel accounting.,2026-06-18,False,False,True,True,False,False,False,
fuels.gbr.bio.biogenic.biodiesel_hvo.gj,UK Biodiesel HVO — biogenic CO2 memo (GJ),70.83,kg CO2 per GJ,CO2,,outside_scopes,biogenic_co2_memo,DEFRA_2026,'Outside of scopes'!D47,2026-06-18,Biogenic CO2 memo — outside GHG Protocol scope totals. Pair with non-CO2 row fuels.uk.bio.biodiesel_hvo.gj (shipping in v2025.12b) for full bio-fuel accounting.,2026-06-18,False,False,True,True,False,False,False,
fuels.gbr.bio.biogenic.biodiesel_hvo.kg,UK Biodiesel HVO — biogenic CO2 memo (kg),3.12,kg CO2 per kg,CO2,,outside_scopes,biogenic_co2_memo,DEFRA_2026,'Outside of scopes'!D48,2026-06-18,Biogenic CO2 memo — outside GHG Protocol scope totals. Pair with non-CO2 row fuels.uk.bio.biodiesel_hvo.kg (shipping in v2025.12b) for full bio-fuel accounting.,2026-06-18,False,False,True,True,False,False,False,
fuels.gbr.bio.biogenic.biodiesel_hvo.litre,UK Biodiesel HVO — biogenic CO2 memo (litres),2.43,kg CO2 per litre,CO2,,outside_scopes,biogenic_co2_memo,DEFRA_2026,'Outside of scopes'!D46,2026-06-18,Biogenic CO2 memo — outside GHG Protocol scope totals. Pair with non-CO2 row fuels.uk.bio.biodiesel_hvo.litre (shipping in v2025.12b) for full bio-fuel accounting.,2026-06-18,False,False,True,True,False,False,False,
fuels.gbr.bio.biogenic.biodiesel_me.gj,UK Biodiesel ME — biogenic CO2 memo (GJ),72.16,kg CO2 per GJ,CO2,,outside_scopes,biogenic_co2_memo,DEFRA_2026,'Outside of scopes'!D35,2026-06-18,Biogenic CO2 memo — outside GHG Protocol scope totals. Pair with non-CO2 row fuels.uk.bio.biodiesel_me.gj (shipping in v2025.12b) for full bio-fuel accounting.,2026-06-18,False,False,True,True,False,False,False,
fuels.gbr.bio.biogenic.biodiesel_me.kg,UK Biodiesel ME — biogenic CO2 memo (kg),2.68,kg CO2 per kg,CO2,,outside_scopes,biogenic_co2_memo,DEFRA_2026,'Outside of scopes'!D36,2026-06-18,Biogenic CO2 memo — outside GHG Protocol scope totals. Pair with non-CO2 row fuels.uk.bio.biodiesel_me.kg (shipping in v2025.12b) for full bio-fuel accounting.,2026-06-18,False,False,True,True,False,False,False,
fuels.gbr.bio.biogenic.biodiesel_me.litre,UK Biodiesel ME — biogenic CO2 memo (litres),2.39,kg CO2 per litre,CO2,,outside_scopes,biogenic_co2_memo,DEFRA_2026,'Outside of scopes'!D34,2026-06-18,Biogenic CO2 memo — outside GHG Protocol scope totals. Pair with non-CO2 row fuels.uk.bio.biodiesel_me.litre (shipping in v2025.12b) for full bio-fuel accounting.,2026-06-18,False,False,True,True,False,False,False,
fuels.gbr.bio.biogenic.biodiesel_me_from_tallow.gj,UK Biodiesel ME (from Tallow) — biogenic CO2 memo (GJ),72.16,kg CO2 per GJ,CO2,,outside_scopes,biogenic_co2_memo,DEFRA_2026,'Outside of scopes'!D44,2026-06-18,Biogenic CO2 memo — outside GHG Protocol scope totals. Pair with non-CO2 row fuels.uk.bio.biodiesel_me_from_tallow.gj (shipping in v2025.12b) for full bio-fuel accounting.,2026-06-18,False,False,True,True,False,False,False,
fuels.gbr.bio.biogenic.biodiesel_me_from_tallow.kg,UK Biodiesel ME (from Tallow) — biogenic CO2 memo (kg),2.68,kg CO2 per kg,CO2,,outside_scopes,biogenic_co2_memo,DEFRA_2026,'Outside of scopes'!D45,2026-06-18,Biogenic CO2 memo — outside GHG Protocol scope totals. Pair with non-CO2 row fuels.uk.bio.biodiesel_me_from_tallow.kg (shipping in v2025.12b) for full bio-fuel accounting.,2026-06-18,False,False,True,True,False,False,False,
fuels.gbr.bio.biogenic.biodiesel_me_from_tallow.litre,UK Biodiesel ME (from Tallow) — biogenic CO2 memo (litres),2.39,kg CO2 per litre,CO2,,outside_scopes,biogenic_co2_memo,DEFRA_2026,'Outside of scopes'!D43,2026-06-18,Biogenic CO2 memo — outside GHG Protocol scope totals. Pair with non-CO2 row fuels.uk.bio.biodiesel_me_from_tallow.litre (shipping in v2025.12b) for full bio-fuel accounting.,2026-06-18,False,False,True,True,False,False,False,
fuels.gbr.bio.biogenic.biodiesel_me_from_used_cooking_oil.gj,UK Biodiesel ME (from used cooking oil) — biogenic CO2 memo (GJ),72.16,kg CO2 per GJ,CO2,,outside_scopes,biogenic_co2_memo,DEFRA_2026,'Outside of scopes'!D41,2026-06-18,Biogenic CO2 memo — outside GHG Protocol scope totals. Pair with non-CO2 row fuels.uk.bio.biodiesel_me_from_used_cooking_oil.gj (shipping in v2025.12b) for full bio-fuel accounting.,2026-06-18,False,False,True,True,False,False,False,
fuels.gbr.bio.biogenic.biodiesel_me_from_used_cooking_oil.kg,UK Biodiesel ME (from used cooking oil) — biogenic CO2 memo (kg),2.68,kg CO2 per kg,CO2,,outside_scopes,biogenic_co2_memo,DEFRA_2026,'Outside of scopes'!D42,2026-06-18,Biogenic CO2 memo — outside GHG Protocol scope totals. Pair with non-CO2 row fuels.uk.bio.biodiesel_me_from_used_cooking_oil.kg (shipping in v2025.12b) for full bio-fuel accounting.,2026-06-18,False,False,True,True,False,False,False,
fuels.gbr.bio.biogenic.biodiesel_me_from_used_cooking_oil.litre,UK Biodiesel ME (from used cooking oil) — biogenic CO2 memo (litres),2.39,kg CO2 per litre,CO2,,outside_scopes,biogenic_co2_memo,DEFRA_2026,'Outside of scopes'!D40,2026-06-18,Biogenic CO2 memo — outside GHG Protocol scope totals. Pair with non-CO2 row fuels.uk.bio.biodiesel_me_from_used_cooking_oil.litre (shipping in v2025.12b) for full bio-fuel accounting.,2026-06-18,False,False,True,True,False,False,False,
fuels.gbr.bio.biogenic.bioethanol.gj,UK Bioethanol — biogenic CO2 memo (GJ),71.37,kg CO2 per GJ,CO2,,outside_scopes,biogenic_co2_memo,DEFRA_2026,'Outside of scopes'!D32,2026-06-18,Biogenic CO2 memo — outside GHG Protocol scope totals. Pair with non-CO2 row fuels.uk.bio.bioethanol.gj (shipping in v2025.12b) for full bio-fuel accounting.,2026-06-18,False,False,True,True,False,False,False,
fuels.gbr.bio.biogenic.bioethanol.kg,UK Bioethanol — biogenic CO2 memo (kg),1.91,kg CO2 per kg,CO2,,outside_scopes,biogenic_co2_memo,DEFRA_2026,'Outside of scopes'!D33,2026-06-18,Biogenic CO2 memo — outside GHG Protocol scope totals. Pair with non-CO2 row fuels.uk.bio.bioethanol.kg (shipping in v2025.12b) for full bio-fuel accounting.,2026-06-18,False,False,True,True,False,False,False,
fuels.gbr.bio.biogenic.bioethanol.litre,UK Bioethanol — biogenic CO2 memo (litres),1.52,kg CO2 per litre,CO2,,outside_scopes,biogenic_co2_memo,DEFRA_2026,'Outside of scopes'!D31,2026-06-18,Biogenic CO2 memo — outside GHG Protocol scope totals. Pair with non-CO2 row fuels.uk.bio.bioethanol.litre (shipping in v2025.12b) for full bio-fuel accounting.,2026-06-18,False,False,True,True,False,False,True,log-z=-6.23
fuels.gbr.bio.biogenic.biomethane_compressed.gj,UK Biomethane (compressed) — biogenic CO2 memo (GJ),55.28,kg CO2 per GJ,CO2,,outside_scopes,biogenic_co2_memo,DEFRA_2026,'Outside of scopes'!D38,2026-06-18,Biogenic CO2 memo — outside GHG Protocol scope totals. Pair with non-CO2 row fuels.uk.bio.biomethane_compressed.gj (shipping in v2025.12b) for full bio-fuel accounting.,2026-06-18,False,False,True,True,False,False,True,log-z=-15.65; outside 3.0x IQR of unit group
fuels.gbr.bio.biogenic.biomethane_compressed.kg,UK Biomethane (compressed) — biogenic CO2 memo (kg),2.71,kg CO2 per kg,CO2,,outside_scopes,biogenic_co2_memo,DEFRA_2026,'Outside of scopes'!D39,2026-06-18,Biogenic CO2 memo — outside GHG Protocol scope totals. Pair with non-CO2 row fuels.uk.bio.biomethane_compressed.kg (shipping in v2025.12b) for full bio-fuel accounting.,2026-06-18,False,False,True,True,False,False,False,
fuels.gbr.bio.biogenic.biomethane_liquified.gj,UK Biomethane (liquified) — biogenic CO2 memo (GJ),56.8,kg CO2 per GJ,CO2,,outside_scopes,biogenic_co2_memo,DEFRA_2026,'Outside of scopes'!D62,2026-06-18,Biogenic CO2 memo — outside GHG Protocol scope totals. Pair with non-CO2 row fuels.uk.bio.biomethane_liquified.gj (shipping in v2025.12b) for full bio-fuel accounting.,2026-06-18,False,False,True,True,False,False,True,log-z=-13.99; outside 3.0x IQR of unit group
fuels.gbr.bio.biogenic.biomethane_liquified.kg,UK Biomethane (liquified) — biogenic CO2 memo (kg),2.78,kg CO2 per kg,CO2,,outside_scopes,biogenic_co2_memo,DEFRA_2026,'Outside of scopes'!D63,2026-06-18,Biogenic CO2 memo — outside GHG Protocol scope totals. Pair with non-CO2 row fuels.uk.bio.biomethane_liquified.kg (shipping in v2025.12b) for full bio-fuel accounting.,2026-06-18,False,False,True,True,False,False,False,
fuels.gbr.bio.biogenic.biopropane.gj,UK Biopropane — biogenic CO2 memo (GJ),64.51,kg CO2 per GJ,CO2,,outside_scopes,biogenic_co2_memo,DEFRA_2026,'Outside of scopes'!D50,2026-06-18,Biogenic CO2 memo — outside GHG Protocol scope totals. Pair with non-CO2 row fuels.uk.bio.biopropane.gj (shipping in v2025.12b) for full bio-fuel accounting.,2026-06-18,False,False,True,True,False,False,True,log-z=-6.19
fuels.gbr.bio.biogenic.biopropane.kg,UK Biopropane — biogenic CO2 memo (kg),2.99,kg CO2 per kg,CO2,,outside_scopes,biogenic_co2_memo,DEFRA_2026,'Outside of scopes'!D51,2026-06-18,Biogenic CO2 memo — outside GHG Protocol scope totals. Pair with non-CO2 row fuels.uk.bio.biopropane.kg (shipping in v2025.12b) for full bio-fuel accounting.,2026-06-18,False,False,True,True,False,False,False,
fuels.gbr.bio.biogenic.biopropane.litre,UK Biopropane — biogenic CO2 memo (litres),1.54,kg CO2 per litre,CO2,,outside_scopes,biogenic_co2_memo,DEFRA_2026,'Outside of scopes'!D49,2026-06-18,Biogenic CO2 memo — outside GHG Protocol scope totals. Pair with non-CO2 row fuels.uk.bio.biopropane.litre (shipping in v2025.12b) for full bio-fuel accounting.,2026-06-18,False,False,True,True,False,False,True,log-z=-6.05
fuels.gbr.bio.biogenic.development_diesel.gj,UK Development diesel — biogenic CO2 memo (GJ),73.54,kg CO2 per GJ,CO2,,outside_scopes,biogenic_co2_memo,DEFRA_2026,'Outside of scopes'!D53,2026-06-18,Biogenic CO2 memo — outside GHG Protocol scope totals. Pair with non-CO2 row fuels.uk.bio.development_diesel.gj (shipping in v2025.12b) for full bio-fuel accounting.,2026-06-18,False,False,True,True,False,False,False,
fuels.gbr.bio.biogenic.development_diesel.kg,UK Development diesel — biogenic CO2 memo (kg),3.16,kg CO2 per kg,CO2,,outside_scopes,biogenic_co2_memo,DEFRA_2026,'Outside of scopes'!D54,2026-06-18,Biogenic CO2 memo — outside GHG Protocol scope totals. Pair with non-CO2 row fuels.uk.bio.development_diesel.kg (shipping in v2025.12b) for full bio-fuel accounting.,2026-06-18,False,False,True,True,False,False,False,
fuels.gbr.bio.biogenic.development_diesel.litre,UK Development diesel — biogenic CO2 memo (litres),2.63,kg CO2 per litre,CO2,,outside_scopes,biogenic_co2_memo,DEFRA_2026,'Outside of scopes'!D52,2026-06-18,Biogenic CO2 memo — outside GHG Protocol scope totals. Pair with non-CO2 row fuels.uk.bio.development_diesel.litre (shipping in v2025.12b) for full bio-fuel accounting.,2026-06-18,False,False,True,True,False,False,False,
fuels.gbr.bio.biogenic.development_petrol.gj,UK Development petrol — biogenic CO2 memo (GJ),70.21,kg CO2 per GJ,CO2,,outside_scopes,biogenic_co2_memo,DEFRA_2026,'Outside of scopes'!D56,2026-06-18,Biogenic CO2 memo — outside GHG Protocol scope totals. Pair with non-CO2 row fuels.uk.bio.development_petrol.gj (shipping in v2025.12b) for full bio-fuel accounting.,2026-06-18,False,False,True,True,False,False,False,
fuels.gbr.bio.biogenic.development_petrol.kg,UK Development petrol — biogenic CO2 memo (kg),3.13,kg CO2 per kg,CO2,,outside_scopes,biogenic_co2_memo,DEFRA_2026,'Outside of scopes'!D57,2026-06-18,Biogenic CO2 memo — outside GHG Protocol scope totals. Pair with non-CO2 row fuels.uk.bio.development_petrol.kg (shipping in v2025.12b) for full bio-fuel accounting.,2026-06-18,False,False,True,True,False,False,False,
fuels.gbr.bio.biogenic.development_petrol.litre,UK Development petrol — biogenic CO2 memo (litres),2.33,kg CO2 per litre,CO2,,outside_scopes,biogenic_co2_memo,DEFRA_2026,'Outside of scopes'!D55,2026-06-18,Biogenic CO2 memo — outside GHG Protocol scope totals. Pair with non-CO2 row fuels.uk.bio.development_petrol.litre (shipping in v2025.12b) for full bio-fuel accounting.,2026-06-18,False,False,True,True,False,False,False,
fuels.gbr.bio.biogenic.methanol_bio.gj,UK Methanol (bio) — biogenic CO2 memo (GJ),68.92,kg CO2 per GJ,CO2,,outside_scopes,biogenic_co2_memo,DEFRA_2026,'Outside of scopes'!D65,2026-06-18,Biogenic CO2 memo — outside GHG Protocol scope totals. Pair with non-CO2 row fuels.uk.bio.methanol_bio.gj (shipping in v2025.12b) for full bio-fuel accounting.,2026-06-18,False,False,True,True,False,False,False,
